place_cat,place_name,place_address,place_lat,place_lon,place_detailsjson,place_src,place_srcassetid
food_venue,Arbory Bar and Eatery / Afloat,2 Flinders Walk MELBOURNE VIC 3000,-37.81866337,144.965469605,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":375},""total_seats"":375}",City of Melbourne,com:food:104034:e1ce16d51658032e
food_venue,Arbutus,8 Errol Street NORTH MELBOURNE VIC 3051,-37.80489365,144.949580943,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":12,""Seats - Indoor"":18},""total_seats"":30}",City of Melbourne,com:food:103526:84b4c79680314ca9
food_venue,Archer's,Ground 428 Docklands Drive DOCKLANDS VIC 3008,-37.8131707,144.937857365,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":48},""total_seats"":48}",City of Melbourne,com:food:620307:630eabb8884d18ea
food_venue,Argi Cafe By Lady G,512 Macaulay Road KENSINGTON VIC 3031,-37.79407422,144.9291382,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":4,""Seats - Indoor"":24},""total_seats"":28}",City of Melbourne,com:food:615808:782d291a015e6d7c
food_venue,Aria Bar & Lounge,Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,-37.82066924,144.966262253,"{""census_year"":2024,""industry_code"":""4520"",""industry_description"":""Pubs, Taverns and Bars"",""seats"":{""Seats - Indoor"":63},""total_seats"":63}",City of Melbourne,com:food:110323:3d508eec418afd6b
food_venue,Arlechin,"Tenancy 3-4, Ground 168 Exhibition Street MELBOURNE VIC 3000",-37.81151587,144.970733249,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":70,""Seats - Outdoor"":10},""total_seats"":80}",City of Melbourne,com:food:103622:d772546f6d5e3006
food_venue,Aroma Restaurant,"Shop 2-3, 540 Little Collins Street MELBOURNE VIC 3000",-37.81695942,144.956773974,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":40},""total_seats"":40}",City of Melbourne,com:food:105949:9cc35ad157f3adc7
food_venue,Aromatic Espresso,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,-37.83774552,144.977042736,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":40},""total_seats"":40}",City of Melbourne,com:food:108627:d7984ed9d2fc7e94
food_venue,Aru Melbourne,"Shop 3, Ground 264-274 Little Collins Street MELBOURNE VIC 3000",-37.81423669,144.965235638,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":110},""total_seats"":110}",City of Melbourne,com:food:101140:20d973dfafcbd1c6
food_venue,Aruba @ MCRI,"Tenancy 2, Ground 50 Flemington Road PARKVILLE VIC 3052",-37.79372054,144.949547006,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":32},""total_seats"":32}",City of Melbourne,com:food:103908:17d02e8de7123766
food_venue,Asado Bar y Grill,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,-37.82082512,144.963828622,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":30,""Seats - Indoor"":86},""total_seats"":116}",City of Melbourne,com:food:110327:bdb1f302ed9207d9
